"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_Ability_molten_guardian_volcanic_blow"		"Volcanic Blow"
		"DOTA_Tooltip_Ability_molten_guardian_volcanic_blow_Description"		"Molten Guardian empowers his battle shield with burning courage, then violently bashes the target with a volcanic blow that taunts, damages and stuns the target for a short time. Molten Guardian gains a chance to fully block any physical attack and taunts nearby enemies for 3 seconds after the stun."
		"DOTA_Tooltip_Ability_molten_guardian_volcanic_blow_stun_duration"		"STUN DURATION:"
		"DOTA_Tooltip_Ability_molten_guardian_volcanic_blow_damage"		"%TARGET CURRENT HEALTH TO DAMAGE:"
        "DOTA_Tooltip_Ability_molten_guardian_volcanic_blow_block_chance"		"%BLOCK CHANCE:"
        "DOTA_Tooltip_Ability_molten_guardian_volcanic_blow_block_duration"		"BLOCK DURATION:"
		"DOTA_Tooltip_modifier_molten_guardian_volcanic_blow_stun"		"Volcanic Blow"
		"DOTA_Tooltip_modifier_molten_guardian_volcanic_blow_stun_Description"		"Stunned."
		"DOTA_Tooltip_modifier_molten_guardian_volcanic_blow_block"		"Volcanic Blow"
		"DOTA_Tooltip_modifier_molten_guardian_volcanic_blow_block_Description"		"Gives a chance to block physical damage and taunts nearby enemies."
		"DOTA_Tooltip_Ability_mars_arena_of_blood"		"Molten Fortress"
		"DOTA_Tooltip_Ability_mars_arena_of_blood_Description"		"As the final fortress to defend the sacred Molten Core, Molten Guardian becomes the incarnate of flaming willpower, shouting in a 1500 radius. He summons the burning arena from the pool of eternal fire and locks all enemies in it while forcing them to attack him. Within this life-and-death arena, Molten Guardian's unbreakable faith and fearlessness greatly encourages his teammates to fight by giving them the Molten Essence buff which increases their attack damage, attack speed and spellhaste. The cooldown of this skill cannot be reduced below 45 seconds."
        "DOTA_Tooltip_Ability_mars_arena_of_blood_lore"		""
        "DOTA_Tooltip_Ability_mars_arena_of_blood_duration"  "DURATION:"
        "DOTA_Tooltip_Ability_mars_arena_of_blood_dmg_bonus"  "%BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_Ability_mars_arena_of_blood_as_bonus"  "BONUS ATTACK SPEED:"
        "DOTA_Tooltip_Ability_mars_arena_of_blood_sph_bonus"  "%BONUS SPELL HASTE:"
        "DOTA_Tooltip_modifier_molten_guardian_molten_fortress_thinker_buff"		"Molten Fortress"
        "DOTA_Tooltip_modifier_molten_guardian_molten_fortress_thinker_buff_Description"		"Attack damage, attack speed and spell haste increased."
        // Priestess of Sacred Forest (ench)
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_herbaceous_essence"		"Herbaceous Essence"
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_herbaceous_essence_Description"		"Priestess bestows the nectar collected from the rarest luminous mistletoe on the Eternal Tree of the forest upon an ally which heals and removes all debuffs. Cast time: 2 seconds"
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_herbaceous_essence_healing"		"%INTELLECT TO HEALING: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection"		"Thorny Protection"
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_Description"		"Priestess forms a barrier of thorns around an area for a short duration. It blocks all damage from enemies outside the area until it's destroyed. Enemies that attack an ally inside the wall are paralyzed by phytotoxin and will have reduced attack speed and spellhaste."
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_block"		"WALL HEALTH: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_duration"		"WALL DURATION: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_radius"		"WALL RADIUS: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_as_slow"		"PHYTOTOXIN ATTACK SPEED SLOW: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_sph_slow"		"%PHYTOTOXIN SPELL HASTE SLOW: "
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_thorny_protection_slow_duration"		"PHYTOTOXIN DURATION: "
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_thorny_protection_buff"		"Thorny Protection"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_thorny_protection_buff_Description"		"Protected from damage as long as the wall of thorns is alive."
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_thorny_protection_slow"		"Thorny Protection"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_thorny_protection_slow_Description"		"Attack speed and spell haste reduced."
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_twilight_breeze"		"Twilight Breeze"
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_twilight_breeze_Description"		"Priestess brings the tender twilight breeze to heal the wounds of an ally over time. They also gain Airy stacks that absorb instances of physical damage. Casting this ability on the same target refreshes the Airy stacks."
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_twilight_breeze_duration"		"HOT DURATION:"
		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_twilight_breeze_healing"		"HEAL PER SECOND:"
        "DOTA_Tooltip_Ability_priestess_of_sacred_forest_twilight_breeze_stacks"		"AIRY STACKS PER CAST:"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_twilight_breeze_airy"		"Airy"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_twilight_breeze_airy_Description"		"Absorbs the next instance of physical damage."
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_twilight_breeze_hot"		"Twilight Breeze"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_twilight_breeze_hot_Description"		"Healing over time."
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility"		"Tranquility"
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility_Description"		"Priestess calls the sacred spirits in the name of Mother Nature. While standing in the area with spirits, all allies gain inner peace which massively heals them every second and reduces all damage taken."
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility_healing"		"%TARGET MAX HEALTH TO HEAL: "
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility_dmg_reduction"		"%BONUS DAMAGE REDUCTION: "
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility_radius"		"RADIUS: "
 		"DOTA_Tooltip_Ability_priestess_of_sacred_forest_tranquility_channel_time"		"CHANNEL TIME: "
 		"DOTA_Tooltip_modifier_priestess_of_sacred_forest_tranquility_buff"		"Tranquility"
        "DOTA_Tooltip_modifier_priestess_of_sacred_forest_tranquility_buff_Description"		"Taking reduced damage and healing over time."
        // Light Cardinal (silencer)
		"DOTA_Tooltip_Ability_light_cardinal_piety"		"Piety"
		"DOTA_Tooltip_Ability_light_cardinal_piety_Description"		"Light Cardinal emits a glimmer of the light of piety around himself. All nearby enemies are blinded and have a chance to miss while attacking for a short duration, while allies are healed over time for 4 seconds based on Light Cardinal's Intelligence. At level 4, all enemies will also be silenced for 0.3 seconds."
        "DOTA_Tooltip_Ability_light_cardinal_piety_healing"		"%INTELLECT TO HEAL PER SECOND: "
        "DOTA_Tooltip_Ability_light_cardinal_piety_miss_chance"		"%BLIND MISS CHANCE: "
        "DOTA_Tooltip_Ability_light_cardinal_piety_radius"		"RADIUS: "
        "DOTA_Tooltip_Ability_light_cardinal_piety_hot_duration"		"HOT DURATION: "
        "DOTA_Tooltip_Ability_light_cardinal_piety_miss_duration"		"BLIND DURATION: "
 		"DOTA_Tooltip_modifier_light_cardinal_piety_hot"		"Piety"
        "DOTA_Tooltip_modifier_light_cardinal_piety_hot_Description"		"Healing over time."
 		"DOTA_Tooltip_modifier_light_cardinal_piety_debuff"		"Piety"
        "DOTA_Tooltip_modifier_light_cardinal_piety_debuff_Description"		"Chance to miss with attacks."
		"DOTA_Tooltip_Ability_light_cardinal_purification"		"Purification"
		"DOTA_Tooltip_Ability_light_cardinal_purification_Description"		"Light Cardinal purifies an ally with divine light that constantly removes debuffs and grants protection against all elemental damage."
		"DOTA_Tooltip_Ability_light_cardinal_purification_protection_duration"		"DIVINE LIGHT DURATION: "
 		"DOTA_Tooltip_modifier_light_cardinal_purification"		"Purification"
        "DOTA_Tooltip_modifier_light_cardinal_purification_Description"		"Protected from elemental damage and cleansed from debuffs."
		"DOTA_Tooltip_Ability_light_cardinal_sublimation"		"Sublimation"
		"DOTA_Tooltip_Ability_light_cardinal_sublimation_Description"		"Light Cardinal's unwavering faith in the Light of Origination greatly empowers his allies and grants them damage reduction and increased HP and mana regeneration."
		"DOTA_Tooltip_Ability_light_cardinal_sublimation_duration"		"DURATION: "
		"DOTA_Tooltip_Ability_light_cardinal_sublimation_dmg_reduction"		"%BONUS DAMAGE REDUCTION: "
		"DOTA_Tooltip_Ability_light_cardinal_sublimation_regeneration"		"%TARGET MAX HEALTH/MANA TO REGENERATION: "
		"DOTA_Tooltip_Ability_light_cardinal_salvation"		"Salvation"
		"DOTA_Tooltip_Ability_light_cardinal_salvation_Description"		"Light Cardinal sacrifices <font color='white'><b>50%</b></font> of his maximum health to the Holy Deity of the Realm of Light and silences himself for <font color='white'><b>3</b></font> seconds in contemplation while he calls the Light of Origination upon nearby allies. It dispels all of their debuffs and heals them based on Cardinal's Intelligence. At level 4, Light Cardinal will also be gifted with the Salvation aura, which blocks fatal attacks against nearby allies and then heals them. This effect has a separate inner cooldown for each ally."
        "DOTA_Tooltip_Ability_light_cardinal_salvation_radius"		"RADIUS: "
        "DOTA_Tooltip_Ability_light_cardinal_salvation_healing"		"%INTELLECT TO HEALING: "
        "DOTA_Tooltip_Ability_light_cardinal_salvation_respawn_hp"		"%SALVATION AURA HEALING: "
        "DOTA_Tooltip_Ability_light_cardinal_salvation_respawn_cd"		"SALVATION AURA COOLDOWN: "
        "DOTA_Tooltip_Ability_light_cardinal_salvation_aura_radius"		"SALVATION AURA RADIUS: "
        "DOTA_Tooltip_Ability_light_cardinal_salvation_health_cost"		"%HEALTH COST: "
 		"DOTA_Tooltip_modifier_light_cardinal_salvation_aura_buff"		"Salvation"
        "DOTA_Tooltip_modifier_light_cardinal_salvation_aura_buff_Description"		"Being protected from death."
 		"DOTA_Tooltip_modifier_light_cardinal_salvation_aura_cd"		"Salvation cooldown"
        "DOTA_Tooltip_modifier_light_cardinal_salvation_aura_cd_Description"		"Protection from death is on cooldown."
		"DOTA_Tooltip_Ability_light_cardinal_harmony"		"Harmony"
		"DOTA_Tooltip_Ability_light_cardinal_harmony_Description"		"With his spirit illuminated by the Light of Origination, Light Cardinal is gifted the harmonious balance of body and soul. He gains armor equal to a percent of his missing mana and Intelligence equal to a percent of his missing health."
        "DOTA_Tooltip_Ability_light_cardinal_harmony_armor_bonus"		"%MISSING MANA TO ARMOR: "
        "DOTA_Tooltip_Ability_light_cardinal_harmony_int_bonus"		"%MISSING HEALTH TO INTELLECT: "
		"DOTA_Tooltip_Ability_light_cardinal_spirit_shield"		"Spirit Shield"
		"DOTA_Tooltip_Ability_light_cardinal_spirit_shield_Description"		"Light Cardinal protects a target ally with spirits of the Light of Origination. A percent of all damage they take is taken by Light Cardinal instead (he cannot die from this effect)."
		"DOTA_Tooltip_Ability_light_cardinal_spirit_shield_absorb"		"%DAMAGE ABSORBED: "
		"DOTA_Tooltip_Ability_light_cardinal_spirit_shield_duration"		"DURATION: "
		"DOTA_Tooltip_modifier_light_cardinal_spirit_shield"		"Spirit shield"
		"DOTA_Tooltip_modifier_light_cardinal_spirit_shield_Description"		"Redirecting a percent of damage taken to Light Cardinal."
		"DOTA_Tooltip_Ability_light_cardinal_desecration"		"Desecration"
		"DOTA_Tooltip_Ability_light_cardinal_desecration_Description"		"Light Cardinal prays for the forgiveness of the sins of his enemies by sacrificing parts of his spirit. He sacrifices a percent of his maximum health (he cannot die from this effect). <br>Cast time: 1 second"
        "DOTA_Tooltip_Ability_light_cardinal_desecration_damage"		"%MAX HP TO SELF DAMAGE: "
		"DOTA_Tooltip_Ability_light_cardinal_consecration"		"Consecration"
		"DOTA_Tooltip_Ability_light_cardinal_consecration_Description"		"Light Cardinal emits the Light of Origination which damages enemies around him based on his missing health."
		"DOTA_Tooltip_Ability_light_cardinal_consecration_damage"		"%MISSING HEALTH TO DAMAGE: "
		"DOTA_Tooltip_Ability_light_cardinal_consecration_radius"		"RADIUS: "
		"DOTA_Tooltip_Ability_light_cardinal_smite"		"Smite"
		"DOTA_Tooltip_Ability_light_cardinal_smite_Description"		"Light Cardinal purifies an enemy's soul with the Light of Origination, dealing damage based on his intellect.<br>Cast time: 2 seconds"
		"DOTA_Tooltip_Ability_light_cardinal_smite_damage"		"%INTELLECT TO DAMAGE: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage"		"Patronage"
		"DOTA_Tooltip_Ability_light_cardinal_patronage_Description"		"Light Cardinal prays to the Holy Deity of the Realm of Light that he be bestowed by her patronage, which amplifies all damage done, but causes Exhaustion after it expires. Exhaustion reduces damage done and increases damage taken."
		"DOTA_Tooltip_Ability_light_cardinal_patronage_crit_factor"		"%CRITICAL STRIKE: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage_crit_chance"		"%CRITICAL STRIKE CHANCE: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage_duration"		"PATRONAGE DURATION: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage_debuff_dmgred"		"%INCOMING DAMAGE INCREASE: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage_debuff_spelldmg"		"%SPELL DAMAGE DECREASE: "
		"DOTA_Tooltip_Ability_light_cardinal_patronage_debuff_duration"		"EXHAUSTION DURATION: "
		"DOTA_Tooltip_modifier_light_cardinal_patronage"		"Patronage"
		"DOTA_Tooltip_modifier_light_cardinal_patronage_Description"		"Damage increased."
		"DOTA_Tooltip_modifier_light_cardinal_patronage_debuff"		"Exhaustion"
		"DOTA_Tooltip_modifier_light_cardinal_patronage_debuff_Description"		"Dealing reduced damage and taking increased damage."
		// Terror Lord (Pit Lord)
		"DOTA_Tooltip_Ability_terror_lord_malicious_flames"		"Malicious Flames"
		"DOTA_Tooltip_Ability_terror_lord_malicious_flames_Description"		"Terror Lord covers an enemy with malicious inferno flames, which drains its sanity and forces it to attack him. It takes damage over time based on Terror Lord's attack damage. At level 4, the flame will also affect all enemies in a 500 radius around the target."
        "DOTA_Tooltip_Ability_terror_lord_malicious_flames_damage"		"%ATTACK DAMAGE TO DAMAGE: "
        "DOTA_Tooltip_Ability_terror_lord_malicious_flames_radius"		"RADIUS: "
        "DOTA_Tooltip_Ability_terror_lord_malicious_flames_duration"		"DURATION: "
		"DOTA_Tooltip_modifier_terror_lord_malicious_flames"		"Malicious Flames"
		"DOTA_Tooltip_modifier_terror_lord_malicious_flames_Description"		"Taking inferno damage over time and forced to attack Terror Lord."
		"DOTA_Tooltip_Ability_terror_lord_mighty_defiance"		"Mighty Defiance"
		"DOTA_Tooltip_Ability_terror_lord_mighty_defiance_Description"		"The mighty Terror Lord taunts nearby enemies with his domineering arrogance. Enemies caught are enraged and have their attack speed, movement speed and spell haste increased, but take more damage for 5 seconds."
        "DOTA_Tooltip_Ability_terror_lord_mighty_defiance_bonus_as"		"%BONUS ATTACK SPEED: "
        "DOTA_Tooltip_Ability_terror_lord_mighty_defiance_bonus_sph"		"%BONUS SPELL HASTE: "
        "DOTA_Tooltip_Ability_terror_lord_mighty_defiance_bonus_ms"		"%BONUS MOVE SPEED: "
        "DOTA_Tooltip_Ability_terror_lord_mighty_defiance_bonus_dmg"		"%BONUS INCOMING DAMAGE: "
        "DOTA_Tooltip_Ability_terror_lord_mighty_defiance_duration"		"DURATION: "
		"DOTA_Tooltip_modifier_terror_lord_mighty_defiance"		"Mighty Defiance"
		"DOTA_Tooltip_modifier_terror_lord_mighty_defiance_Description"		"Taunting nearby enemies."
		"DOTA_Tooltip_modifier_terror_lord_mighty_defiance_debuff"		"Mighty Defiance"
		"DOTA_Tooltip_modifier_terror_lord_mighty_defiance_debuff_Description"		"Attack speed, movement speed and spell haste increased, but taking more damage."
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp"		"Destructive Stomp"
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp_Description"		"Terror Lord heavily stomps the ground, briefly stunning enemies and leaving fire cracks on the ground. Enemies who stand near them take damage every second based on his Strength."
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp_damage"		"%STRENGTH TO DAMAGE: "
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp_radius"		"RADIUS: "
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp_duration"		"DURATION: "
		"DOTA_Tooltip_Ability_terror_lord_destructive_stomp_stun_duration"		"STUN DURATION: "
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator"		"Ruthless Predator"
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_Description"		"Terror Lord spreads a ruthless infernal aura, sapping enemies that come too close of their movement speed, HP and mana regeneration. Terror Lord gains % maximum health regeneration for each affected enemy. Elite enemies and bosses count as 5 and 10 enemies respectively."
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_ms_slow"		"MOVE SPEED SLOW: "
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_regeneration_debuff"		"%REGENERATION REDUCTION: "
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_regeneration_buff"		"%MAX HEALTH REGENERATION PER AFFECTED ENEMY: "
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_regeneration_cap_buff"		"%MAX HEALTH REGENERATION CAP: "
		"DOTA_Tooltip_Ability_terror_lord_ruthless_predator_radius"		"RADIUS: "
		"DOTA_Tooltip_modifier_terror_lord_ruthless_predator_aura_debuff"		"Ruthless Predator"
		"DOTA_Tooltip_modifier_terror_lord_ruthless_predator_aura_debuff_Description"		"Health regeneration, mana regeneration and movement speed reduced."
		"DOTA_Tooltip_modifier_terror_lord_ruthless_predator"		"Ruthless Predator"
		"DOTA_Tooltip_modifier_terror_lord_ruthless_predator_Description"		"Gaining bonus health regeneration per nearby affected enemy."
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis"		"Horror Genesis"
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_Description"		"Terror Lord opens the Pit of Horror Genesis around him, tremendously terrifying all nearby enemies. Enemies standing in the pit will have their attack damage, spell damage, armor and elemental resistances reduced, while Terror Lord has increased Strength."
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_aa_reduction"		"%ATTACK DAMAGE REDUCTION: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_spelldmg_reduction"		"%SPELL DAMAGE REDUCTION: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_armor_reduction"		"%ARMOR REDUCTION: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_elementarmor_reduction"		"%ELEMENTAL RESISTANCES REDUCTION: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_radius"		"RADIUS: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_duration"		"DURATION: "
		"DOTA_Tooltip_Ability_terror_lord_horror_genesis_primary_bonus"		"STRENGTH BONUS: "
		"DOTA_Tooltip_modifier_terror_lord_horror_genesis_thinker_debuff"		"Horror Genesis"
